time	V(n003)	V(n005)	I(I1)
4.933161423493845e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166226691869e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166317318247e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166339974842e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166345638990e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166356967288e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166379623882e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166424937071e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166426353108e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166426707118e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166427415136e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166428831173e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166431663247e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166432371266e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166433787303e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166436619377e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166442283526e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166453611823e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166476268418e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933166612207984e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933167155966251e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933167427845385e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933167880977274e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168062230030e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168198169596e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168379422352e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168741927863e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168832554241e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168855210836e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168860874984e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168862291022e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168870787244e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168872203281e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168875035356e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168880699504e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168892027801e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933168914684396e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933169050623962e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933169685008607e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933170228766874e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933461411318773e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933462317582552e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933492178974040e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933492450853173e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933504057502846e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933515664152518e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933527270802190e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933538877451863e-002	1.515334e+000	4.996513e+000	2.499727e-004
4.933550484101536e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933562090751208e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933573697400880e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933573969280014e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933646742261395e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933646923514151e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933647059453718e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933647318386226e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933647577318734e-002	1.515334e+000	4.996513e+000	2.499728e-004
4.933647836251242e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933648095183750e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933648354116258e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933648613048766e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933648871981274e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933656575223389e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933656756476144e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933656892415711e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933657436173978e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933660698723579e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933663961273180e-002	1.515334e+000	4.996513e+000	2.499729e-004
